nom;code_barre;description;date_expiration;medicament _code;notice;fabricant
Salbutamol;1,23E+12;Bronchodilatateur utilisé pour soulager les crises d'asthme.;01/12/2025;MED015;"Utilisé pour traiter les crises d'asthme et les symptômes de BPCO Traitement Enfants : 2 inhalations selon besoin. 
Adultes : 1 à 2 inhalations toutes les 4-6h..";GlaxoSmithKline
Fluticasone;1,23E+12;Corticostéroïde utilisé pour contrôler l'inflammation dans les maladies respiratoires.;30/04/2026;MED016;"Efficace pour le traitement de l'asthme et la BPCO Traitement Enfants : 50-250 µg une fois par jour. 
Adultes : 100-500 µg une fois par jour.
.";GlaxoSmithKline
Sertraline;1,23E+12;Antidépresseur utilisé pour traiter la dépression, l'anxiété, et d'autres troubles.;20/11/2025;MED017;"Inhibiteur sélectif de la recapture de la sérotonine, améliore l'humeur Traitement Enfants : Non recommandé. 
Adultes : 20 mg/jour..";Eli Lilly
Aspirine;1,23E+12;Analgésique et antipyrétique utilisé pour soulager la douleur et réduire la fièvre, également utilisé en prévention des AVC.;05/06/2025;MED019;"Utilisé pour la douleur, la fièvre et comme anti-inflammatoire Traitement Enfants : 10-15 mg/kg toutes les 4-6h. 
Adultes : 325-1000 mg toutes les 4-6h..";Pfizer
Tétracycline;1,23E+12;Antibiotique utilisé pour traiter les infections bactériennes.;01/12/2025;MED020;"Efficace contre une large gamme d'infections Traitement Enfants : 12,5 mg/kg/jour. 
Adultes : 250-500 mg toutes les 6h..";Bayer
Clopidogrel;1,23E+12;Antiplaquettaire utilisé pour prévenir les thromboses.;10/03/2026;MED021;"Utilisé après un AVC ou un infarctus du myocarde Traitement Enfants : Non recommandé. 
Adultes : 75 mg/jour.
.";Pfizer
Atorvastatine;1,23E+12;Statine utilisée pour abaisser le cholestérol et prévenir les maladies cardiaques.;15/08/2025;MED022;"Réduit le cholestérol LDL, efficace pour la prévention cardiovasculaire Traitement Enfants : Non recommandé. 
Adultes : 10-80 mg/jour.";AstraZeneca
Simvastatine;1,23E+12;Statine utilisée pour abaisser le cholestérol LDL et réduire le risque de maladies cardiaques.;20/05/2026;MED023;"Efficace pour la gestion du cholestérol Traitement Enfants : Non recommandé. 
Adultes : 5-40 mg/jour.";Pfizer
Montélukast;1,23E+12;Antagoniste des récepteurs des leucotriènes utilisé pour traiter l'asthme et les allergies.;30/09/2025;MED024;"Utilisé pour prévenir les crises d'asthme et soulager les symptômes allergiques Traitement Enfants : 4-5 mg/jour. 
Adultes : 10 mg/jour..";Merck
Bisoprolol;1,23E+12;Bêta-bloquant utilisé pour traiter l'hypertension et l'insuffisance cardiaque.;12/02/2026;MED025;"Réduit la fréquence cardiaque et la pression artérielle Traitement Enfants : Non recommandé. 
Adultes : 5-10 mg/jour..";Pfizer
Périndopril;1,23E+12;Antihypertenseur utilisé pour traiter l'hypertension et l'insuffisance cardiaque.;30/07/2025;MED026;"Inhibiteur de l'enzyme de conversion, aide à réduire la pression artérielle Traitement Enfants : Non recommandé. 
Adultes : 4-8 mg/jour..";AstraZeneca
Dexaméthasone;1,23E+12;Corticostéroïde utilisé pour réduire l'inflammation et traiter les allergies.;05/10/2025;MED027;"Utilisé pour traiter des maladies inflammatoires et des allergies sévères Traitement Enfants : 0,1-0,3 mg/kg/jour. 
Adultes : 0,5-9 mg/jour..";AstraZeneca
